Table 3.1. Government Current Receipts and Expenditures,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Annual data from 1969 To 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data published February 26, 2016 ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
File created 2/26/2016 9:31:45 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Current transfer receipts,W011RC1,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.9,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.2,1.2,1.3,0.8,0.8,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.3,1.2,1.2,1.3,1.3,1.4,1.8,1.9,2.0,2.2,2.3,2.4,2.5,2.5,2.6,2.6,2.7,2.8,2.8,4.2,3.5,3.0,3.0,3.0,4.0,4.3,4.5,4.8,4.8,5.1,5.3,5.7,6.1,6.3,6.3,6.4,7.0,12.8,7.3,7.3,7.3,7.5,6.7,8.9,9.6,10.8,10.1,10.3,9.0,9.2,9.9,10.4,10.9,11.3,12.5,12.5,12.1,12.5,13.4,15.2,16.5,16.9,17.5,17.8,17.5,17.3,17.6,21.3,20.1,19.8,19.8,21.0,22.7,21.5,22.0,20.1,18.9,17.9,17.1,16.3,17.0,17.9,18.8,37.3,19.2,19.8,20.8,20.5,20.9,21.5,21.6,21.9,21.9,22.2,22.3,23.1,25.1,24.0,24.9,25.3,25.1,25.0,25.8,25.9,26.1,25.0,24.6,24.0,25.7,26.2,26.2,26.6,28.5,29.6,30.6,29.6,31.4,33.0,33.0,33.2,36.7,37.9,38.5,38.5,41.2,41.3,42.4,43.3,44.3,46.0,44.8,63.6,67.4,78.6,59.3,63.5,66.7,67.5,70.0,68.4,68.2,69.4,66.6,64.0,60.5,55.7,49.6,58.6,66.9,65.4,63.5,88.5,68.5,83.4,106.5,63.8,61.6,72.6,55.9,70.5
19,  From business,W012RC1,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.0,1.0,1.0,1.1,1.2,0.7,0.7,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.0,1.0,1.1,1.1,1.2,1.6,1.7,1.8,2.0,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.6,2.5,4.0,3.2,2.7,2.8,2.8,3.4,3.6,3.8,4.0,3.9,4.2,4.3,4.6,5.1,5.2,5.3,5.4,5.9,11.6,6.0,6.0,6.2,6.3,5.5,7.2,7.9,8.9,7.8,8.0,6.4,6.3,6.9,7.4,7.9,8.2,9.4,9.3,8.9,9.1,10.0,11.6,12.8,13.1,13.6,13.7,13.5,13.2,13.5,17.1,15.0,14.8,14.8,15.9,17.3,15.9,16.3,14.3,13.0,11.8,10.9,9.8,10.2,10.8,11.5,29.7,11.5,11.9,12.8,12.4,12.6,12.9,12.7,12.6,12.4,12.5,11.9,13.0,12.9,13.3,13.3,14.0,13.4,13.7,14.3,14.7,15.0,13.6,12.9,13.2,14.4,14.3,14.5,14.6,15.6,15.9,16.2,15.8,15.9,16.9,16.9,17.7,18.9,19.1,19.6,20.3,20.9,20.7,21.0,23.2,24.1,23.6,22.2,38.2,41.7,56.3,38.9,40.8,43.0,40.9,45.3,45.8,47.6,45.2,45.6,41.7,36.9,29.9,22.6,24.8,38.8,40.4,35.9,54.1,35.1,32.3,80.7,36.5,31.9,37.7,32.2,43.9
20,  From persons,B233RC1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.6,0.6,0.7,0.8,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1,1.2,1.2,1.3,1.2,1.2,1.2,1.7,1.7,1.8,2.3,2.3,2.5,2.9,2.9,2.9,3.0,3.0,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,4.1,4.0,4.1,4.1,4.2,5.0,5.0,5.0,5.1,5.4,5.6,5.7,5.8,5.9,6.0,6.3,6.5,6.8,7.1,7.3,7.5,7.7,7.9,8.0,8.1,8.3,8.6,8.9,9.3,9.5,9.7,9.9,10.1,10.4,10.6,10.8,11.1,11.0,10.9,10.8,10.9,10.9,10.8,10.7,10.6,10.7,10.8,11.1,11.6,12.5,13.0,13.4,13.8,14.7,15.0,15.3,15.5,16.8,17.1,17.5,18.0,19.1,19.5,19.7,19.8,19.4,19.5,19.5,19.6,19.3,19.4,19.6,19.9,20.8,20.8,20.7,20.2,19.9,19.8,20.0,20.4,20.5,21.1,21.3,21.2,21.0,20.9,21.1,21.6,22.3,22.7,22.7,22.2,22.5,22.0,21.9,22.2
21,  From the rest of the world \6\,LA0000281,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,.....,0.0,0.0,0.4,0.0,1.9,0.0,0.8,0.2,0.7,0.4,0.7,0.4,0.2,0.6,1.0,0.2,0.6,1.1,0.6,0.4,0.4,0.7,1.0,0.0,0.8,1.1,0.8,0.1,1.0,1.7,1.4,0.2,1.1,1.1,1.7,0.3,0.8,3.0,3.1,5.8,6.5,2.9,0.8,2.8,3.0,5.7,4.0,2.3,0.7,4.4,1.0,2.0,3.1,4.7,5.7,12.5,7.1,4.1,6.5,12.8,11.1,28.5,3.1,5.1,7.2,12.9,1.8,4.4
22,Current surplus of government enterprises \7\,B097RC1,-1.3,-1.3,-1.3,-1.2,-2.0,-2.6,-2.5,-2.8,-3.1,-2.5,-2.8,-2.7,-2.7,-2.5,-2.4,-1.9,-2.9,-3.2,-3.6,-3.9,-3.6,-2.8,-3.1,-3.4,-4.0,-4.2,-4.6,-4.8,-2.9,-2.9,-2.9,-2.9,-3.1,-3.2,-3.7,-3.8,-3.8,-3.3,-1.9,-2.6,-2.5,-2.5,-2.5,-3.2,-3.2,-3.6,-3.5,-4.3,-4.3,-2.0,-2.4,-1.9,-1.8,-1.9,-2.3,-2.5,-2.1,-2.0,-2.0,-1.6,-2.6,-2.6,-2.8,-2.8,-2.5,-1.4,-1.3,-1.3,-0.9,-0.7,-0.5,-0.2,0.2,-0.1,-0.6,-1.4,-2.1,1.7,1.5,1.5,1.1,1.1,1.0,1.0,-1.0,-2.3,-2.6,-3.4,-0.2,2.2,2.5,3.9,3.9,4.6,4.8,3.1,2.3,4.1,3.5,4.0,4.9,4.6,3.9,2.8,6.2,5.2,4.6,4.2,4.3,4.1,4.6,4.9,5.5,6.9,6.7,7.2,8.1,8.1,7.7,6.3,8.0,7.4,7.2,6.3,7.0,6.8,4.6,2.9,3.5,2.6,2.6,2.4,4.3,4.5,9.4,9.3,7.4,6.7,6.2,6.4,5.5,5.5,4.6,4.0,2.0,1.3,0.1,0.4,2.7,2.1,1.3,1.1,0.5,2.2,3.8,1.7,1.2,0.7,0.9,0.6,0.1,0.8,1.5,0.6,-0.4,-2.4,-3.9,-5.6,-6.5,-6.6,-7.5,-8.0,-7.8,-8.5,-9.1,-10.4,-10.2,-11.3,-11.4,-12.3,-9.5,-9.9,-9.6,-9.8,-8.1,-8.0,-8.1,-9.7
23,    Current expenditures,W013RC1,188.1,194.9,199.7,205.1,208.7,220.0,223.3,227.5,233.0,242.8,242.5,247.7,258.8,267.9,260.1,284.9,282.6,287.3,286.2,291.7,301.2,314.3,323.6,337.4,352.9,377.2,377.9,387.2,392.8,395.1,406.2,415.6,419.5,427.6,441.1,455.0,467.2,476.3,488.5,502.7,509.2,520.2,538.4,558.4,582.4,603.2,635.9,658.4,679.5,693.1,717.2,737.7,751.3,763.9,790.6,827.4,831.3,850.8,861.4,855.7,873.9,896.2,909.5,934.4,949.9,962.9,979.8,992.7,"1,003.6","1,029.6","1,049.5","1,039.6","1,042.8","1,058.9","1,062.2","1,086.7","1,106.2","1,107.0","1,118.7","1,147.2","1,169.2","1,191.4","1,209.6","1,226.3","1,260.4","1,283.0","1,293.7","1,317.2","1,283.2","1,345.3","1,379.7","1,407.9","1,455.9","1,477.1","1,497.1","1,518.0","1,519.2","1,531.4","1,550.3","1,570.3","1,550.7","1,567.5","1,593.9","1,619.8","1,642.5","1,658.4","1,668.9","1,663.2","1,700.6","1,711.7","1,713.5","1,733.3","1,737.2","1,754.7","1,757.7","1,784.4","1,768.5","1,781.0","1,786.1","1,812.5","1,815.2","1,820.0","1,842.5","1,877.4","1,868.1","1,910.9","1,922.6","1,945.1","1,983.8","2,005.4","2,037.2","2,043.1","2,095.9","2,134.9","2,145.9","2,187.7","2,223.5","2,312.6","2,312.4","2,343.2","2,393.8","2,405.4","2,435.4","2,471.8","2,556.9","2,582.2","2,624.4","2,669.4","2,726.7","2,763.0","2,795.8","2,773.7","2,874.6","2,926.8","2,949.9","2,979.9","3,049.8","3,401.9","3,234.9","3,167.2","3,261.8","3,554.6","3,561.7","3,570.7","3,711.7","3,755.0","3,801.0","3,820.4","3,804.2","3,890.4","3,797.0","3,781.3","3,771.2","3,780.6","3,767.3","3,837.4","3,767.3","3,779.8","3,794.1","3,787.7","3,834.7","3,886.3","3,943.5","3,922.4","3,935.8","4,014.6","4,079.8","4,063.5"
24,Consumption expenditures,A957RC1,97.1,99.5,102.3,102.8,102.7,101.4,102.4,102.8,105.6,106.7,106.7,107.5,112.8,114.0,110.2,111.7,113.1,114.2,112.7,115.6,118.6,119.5,123.1,128.7,129.9,132.1,133.2,136.6,136.8,138.5,138.0,142.7,145.0,148.4,150.1,154.9,157.2,161.0,162.5,167.2,170.8,174.8,174.2,184.1,191.3,202.0,201.7,213.4,221.1,229.8,230.9,243.4,247.6,249.2,257.3,268.5,273.3,278.8,287.4,271.9,280.6,293.3,295.1,299.1,307.5,312.8,321.3,325.4,325.1,335.9,344.8,340.1,342.3,346.0,346.2,356.6,356.6,357.6,357.7,371.5,368.5,382.2,383.5,386.5,396.7,401.0,398.7,410.9,427.2,426.2,423.5,419.0,423.1,425.5,435.6,436.6,424.6,424.1,430.1,432.0,423.2,424.9,434.2,427.0,428.9,430.9,430.2,420.6,423.5,430.4,427.3,432.5,430.6,443.3,438.8,442.1,427.5,439.4,433.9,445.0,446.4,446.7,457.5,471.7,461.8,483.0,477.7,477.8,493.7,502.9,509.1,515.8,542.5,554.6,561.6,582.6,600.4,635.1,631.4,646.9,668.9,677.8,691.6,687.2,714.5,716.8,736.2,726.2,762.1,760.3,763.2,770.2,775.3,789.1,809.2,819.9,850.1,865.7,898.0,905.6,904.8,931.2,945.9,952.9,979.1,"1,005.1","1,018.8","1,012.7","1,000.6","1,015.2","1,009.0",999.5,"1,011.6","1,006.0","1,012.5","1,001.2",978.5,967.0,950.8,948.7,952.9,950.9,968.2,949.1,956.7,957.2,961.3,967.0
25,Current transfer payments,W014RC1,61.0,64.3,65.0,67.9,69.7,81.0,82.0,85.4,88.0,96.6,96.0,99.6,103.4,110.5,104.8,127.3,122.6,124.8,124.6,126.3,133.0,144.6,148.6,155.8,168.7,189.5,187.3,190.7,194.2,193.9,203.9,206.5,206.9,209.8,218.9,220.5,227.6,229.8,237.0,241.1,242.7,247.0,264.2,269.7,279.9,284.6,316.4,322.5,322.2,323.4,339.9,338.8,343.3,350.7,364.7,382.9,379.6,387.7,382.2,386.8,389.7,393.9,395.1,409.2,413.4,416.3,422.9,426.6,433.1,445.5,454.9,447.6,445.5,453.5,451.8,459.4,475.4,475.3,483.2,493.5,509.9,513.0,528.0,538.1,556.6,570.4,575.2,582.1,528.4,588.2,624.8,653.2,698.2,714.8,723.8,744.1,748.7,758.2,770.4,792.0,785.0,794.0,804.0,827.4,835.6,841.2,848.1,850.1,882.8,888.9,890.3,903.9,910.4,913.4,918.8,940.6,939.4,939.4,949.7,967.9,973.6,976.0,989.0,"1,006.4","1,006.7","1,027.1","1,046.5","1,070.0","1,096.4","1,118.6","1,135.4","1,168.5","1,209.9","1,234.8","1,243.2","1,262.6","1,285.4","1,329.4","1,341.9","1,354.9","1,380.9","1,384.8","1,389.2","1,417.7","1,464.8","1,463.0","1,483.3","1,508.3","1,554.3","1,576.2","1,592.9","1,586.2","1,660.9","1,660.1","1,681.9","1,712.2","1,751.2","2,085.6","1,873.4","1,874.1","1,998.8","2,197.1","2,177.3","2,198.5","2,318.5","2,311.3","2,346.3","2,356.7","2,336.7","2,359.2","2,306.5","2,305.6","2,288.6","2,290.0","2,303.2","2,321.5","2,328.2","2,339.2","2,361.0","2,355.6","2,390.3","2,429.8","2,471.7","2,484.0","2,539.4","2,542.2","2,582.2","2,594.3"
26,  Government social benefits,W015RC1,45.1,45.9,46.7,47.6,48.9,58.2,57.7,60.6,61.8,68.7,68.0,69.0,71.1,71.2,71.2,81.7,83.3,84.8,86.2,88.5,95.1,102.0,107.9,113.5,122.3,136.1,138.8,140.0,143.7,142.1,147.9,150.3,152.3,151.4,157.1,159.3,161.2,160.7,168.6,171.1,175.3,178.7,193.2,197.0,205.4,210.7,239.1,240.2,244.6,245.8,263.7,265.9,269.2,276.5,291.7,306.6,305.9,311.0,304.9,307.1,309.9,312.1,312.8,318.9,327.2,328.1,331.6,332.6,342.7,346.3,351.9,353.8,357.8,361.8,362.2,364.1,379.5,380.6,383.9,387.7,408.8,413.2,419.0,426.4,443.4,449.6,454.2,465.6,487.1,497.3,501.1,515.6,545.6,557.5,561.8,567.0,583.3,588.3,592.1,596.0,608.4,612.9,616.8,625.3,643.7,651.9,657.0,662.9,682.6,688.2,691.3,696.5,712.2,715.5,717.0,718.1,727.9,729.0,731.6,732.9,744.0,747.1,749.7,752.8,765.3,781.5,786.3,795.3,826.7,840.4,858.9,874.8,904.4,930.1,934.2,939.6,957.1,974.1,984.4,994.8,"1,015.6","1,024.3","1,033.6","1,047.2","1,077.8","1,087.7","1,102.2","1,114.8","1,185.3","1,197.1","1,206.5","1,217.6","1,253.5","1,269.7","1,284.7","1,302.3","1,336.8","1,676.7","1,460.8","1,445.9","1,538.2","1,664.8","1,652.9","1,673.0","1,768.8","1,770.7","1,776.2","1,782.1","1,786.8","1,793.9","1,799.3","1,807.7","1,792.0","1,795.7","1,803.6","1,814.8","1,835.1","1,834.9","1,845.0","1,853.0","1,868.4","1,894.8","1,905.5","1,918.3","1,955.5","1,974.9","1,987.0","2,002.7"
27,    To persons,B087RC1,44.6,45.3,46.1,47.0,48.3,57.5,56.9,59.8,61.0,67.9,67.2,68.2,70.2,70.2,70.3,80.6,82.2,83.6,85.1,87.3,94.1,100.7,106.4,112.0,120.5,134.2,136.8,137.8,141.3,139.6,145.4,147.7,149.8,148.9,154.4,156.6,158.5,158.0,165.9,168.3,172.5,175.7,190.1,193.8,202.1,207.3,235.4,236.4,240.5,241.6,259.3,261.5,265.2,272.2,287.5,302.6,302.2,307.4,301.3,303.5,306.4,308.4,309.1,315.1,323.2,324.2,327.5,328.5,338.3,342.0,347.8,348.9,353.6,357.6,357.9,359.7,375.0,376.1,379.3,383.0,403.9,408.3,413.7,420.9,437.5,443.4,447.9,459.4,481.0,491.3,495.1,508.5,540.0,550.5,555.5,561.1,577.6,582.0,585.7,589.6,601.8,606.2,610.0,618.1,637.6,644.9,650.0,655.8,675.0,680.7,683.7,688.9,704.5,707.5,709.2,710.2,719.7,720.7,723.5,724.7,735.5,738.6,741.1,744.2,756.8,772.9,777.5,786.5,817.3,831.0,849.4,865.2,894.9,920.4,924.5,930.0,947.1,964.1,974.3,984.6,"1,005.1","1,013.7","1,023.0","1,036.3","1,066.7","1,076.5","1,090.9","1,103.5","1,173.1","1,184.7","1,194.1","1,204.9","1,240.3","1,256.3","1,271.3","1,288.9","1,323.1","1,657.2","1,446.6","1,431.3","1,522.9","1,648.0","1,637.1","1,656.9","1,752.5","1,754.2","1,759.6","1,765.4","1,769.8","1,776.8","1,782.2","1,790.5","1,774.3","1,777.8","1,785.6","1,796.7","1,816.5","1,816.1","1,826.0","1,834.0","1,849.1","1,875.3","1,886.0","1,898.8","1,935.7","1,954.7","1,966.4","1,982.2"
28,    To the rest of the world \8\,W016RC1,0.6,0.6,0.6,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.8,0.8,0.9,0.9,0.9,1.1,1.1,1.1,1.2,1.2,1.0,1.3,1.5,1.6,1.8,1.9,2.0,2.2,2.4,2.5,2.6,2.6,2.5,2.5,2.6,2.7,2.7,2.7,2.8,2.9,2.8,3.0,3.1,3.2,3.3,3.4,3.7,3.8,4.1,4.2,4.4,4.5,4.0,4.2,4.1,4.0,3.7,3.6,3.6,3.6,3.5,3.7,3.7,3.8,4.0,4.0,4.1,4.1,4.3,4.3,4.1,4.8,4.2,4.2,4.3,4.3,4.5,4.5,4.6,4.7,4.9,4.9,5.3,5.5,6.0,6.2,6.3,6.2,6.1,6.0,5.9,7.1,5.7,7.0,6.3,5.9,5.7,6.3,6.4,6.4,6.6,6.7,6.8,7.1,6.1,7.0,7.0,7.1,7.6,7.5,7.6,7.6,7.8,8.0,7.8,7.9,8.2,8.3,8.1,8.2,8.4,8.5,8.6,8.6,8.5,8.7,8.7,8.7,9.4,9.3,9.5,9.5,9.6,9.7,9.7,9.7,10.0,10.1,10.1,10.2,10.5,10.6,10.6,10.9,11.1,11.2,11.3,11.4,12.3,12.4,12.4,12.7,13.2,13.3,13.4,13.3,13.7,19.5,14.1,14.6,15.3,16.8,15.9,16.0,16.3,16.5,16.6,16.7,17.0,17.1,17.1,17.1,17.7,17.9,18.1,18.2,18.6,18.8,19.0,19.0,19.3,19.4,19.5,19.6,19.8,20.1,20.6,20.6
29,  Other current transfer payments,W010RC1,15.9,18.4,18.2,20.3,20.8,22.8,24.3,24.8,26.2,27.9,27.9,30.6,32.2,39.4,33.6,45.6,39.3,40.0,38.4,37.8,38.0,42.6,40.8,42.3,46.4,53.4,48.5,50.7,50.5,51.8,56.0,56.2,54.5,58.4,61.8,61.3,66.4,69.2,68.4,70.0,67.4,68.3,71.0,72.6,74.6,73.9,77.3,82.3,77.6,77.6,76.1,72.9,74.0,74.2,73.1,76.3,73.7,76.7,77.3,79.8,79.8,81.8,82.3,90.3,86.2,88.2,91.3,94.0,90.5,99.2,102.9,93.9,87.8,91.7,89.6,95.3,95.9,94.7,99.3,105.8,101.1,99.8,109.0,111.7,113.2,120.8,121.0,116.5,41.3,90.9,123.7,137.6,152.5,157.4,161.9,177.1,165.4,169.9,178.3,196.0,176.7,181.1,187.3,202.2,191.9,189.3,191.1,187.2,200.2,200.8,198.9,207.5,198.2,197.8,201.9,222.5,211.5,210.5,218.1,235.0,229.6,228.8,239.4,253.7,241.4,245.6,260.3,274.7,269.7,278.2,276.5,293.7,305.4,304.8,308.9,323.0,328.3,355.3,357.6,360.1,365.3,360.5,355.6,370.4,387.1,375.3,381.0,393.4,368.9,379.1,386.4,368.7,407.5,390.5,397.2,409.9,414.4,409.0,412.7,428.1,460.6,532.4,524.4,525.6,549.8,540.6,570.1,574.6,549.8,565.3,507.2,498.0,496.6,494.3,499.5,506.7,493.1,504.3,516.0,502.6,521.8,535.0,566.1,565.7,583.9,567.4,595.2,591.6
30,    Grants-in-aid to state and local governments,B089RC1,12.2,13.1,14.2,15.1,16.6,17.9,19.2,19.8,20.5,22.1,22.4,23.7,24.4,32.7,25.6,39.3,34.3,33.4,32.6,33.6,33.3,34.1,35.4,36.8,39.3,44.3,45.0,45.9,47.0,47.8,48.7,52.7,50.7,53.7,57.3,57.3,61.5,64.1,63.4,64.9,62.1,62.6,65.2,65.9,66.7,68.2,70.7,73.1,71.5,71.4,68.8,66.0,65.8,67.3,65.6,66.3,67.2,69.2,68.4,67.0,71.3,73.1,70.7,74.3,74.8,75.3,76.4,78.1,79.7,83.8,86.7,79.5,76.9,80.2,78.2,78.2,84.1,84.1,87.0,87.7,88.7,89.1,95.0,94.5,99.9,103.2,105.5,108.8,115.6,120.5,127.0,132.9,136.2,139.0,145.0,146.5,148.8,151.4,157.2,165.5,162.4,164.9,167.3,172.8,175.6,174.8,175.8,171.7,177.1,185.5,182.9,180.3,184.6,184.2,187.5,196.3,197.3,197.0,201.8,207.0,214.7,211.8,223.1,227.0,224.5,227.4,239.5,241.1,254.0,262.2,258.5,270.4,273.6,285.4,290.0,299.7,298.2,324.9,328.9,334.8,327.2,333.5,328.0,340.1,341.9,343.7,342.5,345.3,338.7,342.1,347.4,335.0,356.8,358.8,359.8,360.5,364.0,368.5,369.3,382.2,416.0,476.1,461.9,478.3,492.2,492.3,517.2,519.5,494.7,500.8,452.1,442.2,439.7,439.1,443.0,454.1,440.5,450.5,458.4,451.1,468.6,484.2,514.1,512.5,525.5,520.2,539.2,542.9
31,"    To the rest of the world \6,8\",W017RC1,3.6,5.3,4.1,5.1,4.2,4.9,5.1,5.0,5.7,5.9,5.6,6.9,7.8,6.6,8.0,6.3,5.0,6.6,5.8,4.2,4.7,8.5,5.4,5.4,7.1,9.1,3.6,4.8,3.4,3.9,7.3,3.5,3.8,4.7,4.5,4.0,4.9,5.1,5.0,5.1,5.3,5.6,5.7,6.7,7.9,5.7,6.5,9.2,6.2,6.3,7.3,6.9,8.2,6.9,7.5,10.0,6.5,7.5,8.9,12.8,8.5,8.7,11.6,16.0,11.4,12.9,14.9,15.9,10.7,15.4,16.2,14.4,10.9,11.5,11.4,17.1,11.8,10.6,12.2,18.1,12.3,10.6,14.0,17.2,13.3,17.6,15.5,7.7,-74.3,-29.6,-3.3,4.7,16.3,18.4,16.9,30.6,16.6,18.5,21.1,30.6,14.3,16.2,20.0,29.4,16.3,14.5,15.3,15.5,23.0,15.3,16.1,27.1,13.6,13.6,14.4,26.2,14.1,13.5,16.3,27.9,14.9,17.0,16.3,26.7,16.9,18.2,20.8,33.7,15.7,16.0,18.0,23.3,31.8,19.3,18.9,23.3,30.1,30.4,28.6,25.4,38.1,27.0,27.6,30.4,45.2,31.6,38.5,48.1,30.3,37.0,39.1,33.6,50.7,31.7,37.4,49.4,50.4,40.5,43.4,46.0,44.6,56.3,62.5,47.2,57.6,48.4,52.9,55.1,55.1,64.5,55.1,55.8,56.9,55.3,56.5,52.6,52.7,53.8,57.6,51.4,53.2,50.8,52.1,53.2,58.4,47.1,56.0,48.7
32,Interest payments \4\,A091RC1,25.7,26.7,27.8,29.7,31.5,32.9,34.3,34.6,34.7,34.8,35.4,36.0,36.5,37.2,37.9,38.9,40.9,42.6,44.2,45.4,46.2,47.4,48.9,49.5,50.3,51.5,53.0,55.1,56.9,58.1,59.4,61.2,62.0,63.8,65.8,69.4,74.0,77.3,80.9,84.2,87.6,89.9,92.3,96.1,102.3,107.3,108.1,112.5,126.0,129.5,135.7,142.4,146.8,150.9,155.9,157.1,158.9,163.1,170.1,175.8,182.8,188.4,198.8,205.3,208.3,213.1,214.5,219.0,222.6,224.3,224.7,225.3,227.0,229.1,233.2,240.0,244.1,244.6,248.9,254.1,263.2,269.3,271.4,274.8,280.3,285.0,293.2,297.6,300.9,304.1,304.4,308.0,306.4,307.9,307.7,305.5,310.8,311.9,312.5,310.6,309.2,316.6,324.0,333.5,344.4,352.0,355.6,357.3,359.1,357.2,361.2,362.4,362.2,364.8,367.1,368.4,368.3,367.6,366.2,360.1,353.2,352.7,349.9,352.9,355.0,355.9,353.1,350.9,346.6,336.4,326.3,315.7,302.7,306.3,301.4,300.3,292.8,291.4,291.2,295.0,299.6,299.6,309.8,315.3,321.3,342.2,343.2,371.0,355.0,375.4,390.2,368.9,390.8,430.0,411.7,400.3,400.6,401.9,413.6,335.7,305.0,372.0,372.7,364.7,360.8,385.2,381.2,395.1,409.3,456.6,421.0,415.9,413.1,426.9,395.8,455.7,401.9,414.3,423.3,424.9,433.8,448.2,445.9,432.3,382.6,457.2,477.6,443.2
